LineID,ToOrder,FromOrder,BuoyName,BuoyConfig,NeedsReconfig
Line_07,16,15,Single Big (4.5 m),BC0.3,False
Line_08,21,20,Tandem Small 3m,BB0.0,False
Line_08,21,20,Tandem Small 3m,BB0.0,False
Line_16,40,39,Single Small (3.0 m),BD0.1,False
Line_16,40,39,Tandem Big 3m,BA0.0,False
Line_16,42,41,Single Small (3.0 m),BD0.1,True
Line_19,52,51,Single Small (3.0 m),BD1.2,False
Line_19,52,51,Tandem Big 3m,BA0.0,False
