Buoy Type,Configuration,Quantity
Single Small (3.0 m),BD0.0,1
Single Small (3.0 m),BD0.1,1
Single Small (3.0 m),BD0.2,1
Single Small (3.0 m),BD1.0,1
Single Small (3.0 m),BD1.1,1
Single Small (3.0 m),BD1.2,1
Single Small (3.0 m),BD2.0,1
Tandem Big 3m,BA0.0,1
Tandem Big 3m,BA0.1,1
Tandem Big 3m,BA0.2,1
Tandem Small 3m,BB0.0,2
Tandem Small 3m,BB0.2,2
